,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
141,86,"Historias inspiracionales, escritas en tiempos de COVID-19, de niñas y mujeres chidas que cambiaron la historia de México.",100000,HISTORIAS DE MEXICANAS CHIDAS PARA NIÑAS CHIDÍSIMAS.,Exitoso,Baja California,128600,LUCIANA BIONDO & INÉS HÜNI,Editorial
142,86,Giant polygonal statue of the pre-hispanic god of arts and power plants. Interactive artwork by Mexican designers at Burning Man 2017.,120000,XOCHIPILLI,Exitoso,Distrito Federal,122705,Xochipeople,Arte
143,86,"The movement of the earth created physical and emotional effects. As we rebuild, we look to the moving power of art and community",100000,A very special edition : MUTEK MX : una edición muy especial,Exitoso,Distrito Federal,110480,MUTEK.MX,Arte
144,86,Cortometraje seleccionado para participar en el Rally Universitario del Festival Internacional de Cine de Guanajuato,60000,"""En El Nombre Del Hijo"" Shortfilm",Exitoso,Queretaro de Arteaga,61353,Regina Camargo,Cine y video
145,85,"TASTY PLAYING CARDS -  Perfect for Cardistry and Magic. \r
Are you ready to feel the sweetness in your hands?",97000,Tasty Playing Cards,Exitoso,Baja California,99437,Pedro Uscanga,Juegos
146,85,Cortometraje de tesis universitaria sobre el descubrimiento de la muerte// ShortFilm for university thesis about the discovery of death,80000,Short Film: Solo un poco aquí,Exitoso,Baja California,81268,Melisa Gzz,Cine y video
147,85,"Sin Correspondencia es un cortometraje realizado por estudiantes universitarios del Tec de Monterrey, Querétaro.",50000,Sin Correspondencia,Exitoso,Queretaro de Arteaga,57508,Sin Correspondencia,Cine y video
148,84,Mi proyecto musical nuevo después de 10 años de silencio. Este es mi camino de regreso a mí.,100000,"JANNETTE CHAO-NUEVO EP: ""EXPUESTO""",Exitoso,Distrito Federal,195918,Jannette Chao,Música
149,84,"Una comedia con tintes de humor negro sobre dos machos rotos, viajando en una camioneta rota, en un México que también está roto.",100000,La Papaya no tiene semillas - Cortometraje,Exitoso,San Luis Potosi,107350,Esteban Guerrero Carranco,Cine y video
150,84,Primer EP de El Cuarto de Dante con piezas instrumentales originales,66600,El Cuarto de Dante - LIMBO,Exitoso,Distrito Federal,72195,"Emmanuel Navarro, de El Cuarto de Dante",Música
151,84,"Guenda connects Mexican artisans with today's market, creating a positive impact with handcrafted products. ""Mexico Creates""",60000,· Guenda · products for connecting with nature and people,Exitoso,Puebla,60520,Cecilia González,Artesanía
152,84,La guía del fotógrafo es un libro que todo aquel que se aventura en el mundo de la fotografía debe tener.,280000,La Guía Del Fotógrafo,Fallido,Guanajuato,59823,Yo Sé Foto,Fotografía
153,84,"I will paint 100 small animals in watercolor, to fund an oil extractor machine to make organic products.",15000,"#Make100: Animals, watercolor Paintings",Exitoso,San Luis Potosi,24575,Andrea Esquivel,Arte
154,83,A Children´s Gratitude Tale.,50000,The Conchita Story,Exitoso,Baja California,55008,Ivonne Camargo,Editorial
155,83,Atómika nos muestra que la autenticidad de uno mismo puede vencer nuestros miedos más profundos.,30000,ATÓMIKA,Exitoso,Jalisco,33703,Diana Romo,Cine y video
156,81,"breve is an emergent art gallery for emerging collectors. breve strengthens its exhibition program with the show ""Notas al futuro""",150000,"Photo Exhibition ""Notas al Futuro"" by breve_ ""Project earth""",Exitoso,Distrito Federal,151240,Begoña Irazábal,Fotografía
157,81,Cortometraje de Ficción sobre un carnicero de mercado que conoce sus peores límites debido a su fanatismo por una secta motivacional,50000,"""Carne"" Cortometraje",Exitoso,Baja California,54509,Paola Tello Lara,Cine y video
158,81,Un cortometraje que nos invita a enfrentar nuestro pasado a través de la comedia hecho por estudiantes del Tec de Monterrey.,50000,Dynamo,Exitoso,Queretaro de Arteaga,52169,Arantza Moreno,Cine y video
159,80,"Raíz combina arte y tecnología para crear una obra de teatro donde, decidirás el curso de la obra con una app en tu celular.",70000,"Raíz: Tercera llamada, favor de encender sus celulares",Exitoso,Distrito Federal,72850,Principio y TSP,Teatro
160,80,"A partir de un modelo a escala (1:100) de una ballena gris, 9 modelos seran intervenidos por tres artistas mexicanos",60000,BallenoMorfas,Exitoso,Baja California Sur,64368,Morfos,Arte
161,79,La recuperación de un teatro en el centro de Guadalajara. Estamos reconstruyendo el Teatro Maria Teresa. Necesitamos butacas.,160000,TEATRO MARIA TERESA,Exitoso,Jalisco,181518,Mauricio Cedeño,Teatro
162,79,"Programa de tv web sobre deportes extremos, turismo ecológico y gastronómico en México.",110000,Báaxal: México extremo,Exitoso,Distrito Federal,110650,Daniel Chávez Zarazúa,Cine y video
163,79,Un cortometraje mexicano realizado por estudiantes de facultad.,75000,PETRICOR,Exitoso,Queretaro de Arteaga,86400,Mariana Sandoval Pérez,Cine y video
164,79,VIDEOJUEGO DE CULTURA MEXICANA,35000,Videojuego AXOL,Exitoso,Jalisco,36152,Narciso Alejo Gutierrez,Juegos
165,78,Kike Jimenez nuevo E.P.  2018,100000,Kike Jimenez nuevo E.P. 2018,Exitoso,Distrito Federal,112428,Kike Jimenez,Música
166,78,The comic returns with a third thicker volume and more intense events in the search for the forbidden fruit,50000,The Eighth: chapter 3 & 4,Exitoso,San Luis Potosi,55253,Jackce Esquida,Cómic
167,77,"Comedia oscura sobre dos amigos, un muerto y una playera de fútbol. ❁ Black comedy about two friends, a dead man and a football jersey.",60000,Muerte En Guanajuato (Short Film),Exitoso,Guanajuato,62878,Ernesto Pérez Medina,Cine y video
168,77,Escribí una novela y necesito recaudar fondos p/imprimir un tiraje de mil copias que se venderán en las principales librerías del país.,55000,¡Ayúdame a publicar mi libro!,Exitoso,Distrito Federal,57913,Carlos Ferráez,Editorial
169,77,Campaña de producción del cómic completo de Ecatepunk.,30000,Ecatepunk: el cómic,Exitoso,Mexico,37308,Joshua Hernandez,Cómic
170,76,Impresión póstuma del libro Basura del fotógrafo mexicano Eniac Martínez,266700,Basura: Eniac Martinez,Fallido,Mexico,96713,Flavia Martinez,Fotografía
171,76,"Un libro de fotografías y las historias detrás de ellas.
A book of photographs and the stories behind them.",75500,Summers in Iceland / Veranos en Islandia,Exitoso,Distrito Federal,75500,Neomi David,Fotografía
172,76,Bebedero de cerámica para abejas hecho con amor  //  Ceramics bee waterer made with love,26000,OAPIS,Exitoso,Distrito Federal,72165,Pilar Hernández Cordero,Artesanía
173,75,"Museo de arte indígena, arte visionario y arte contemporáneo // Museum of indigenous, visionary and contemporary art.",280000,Pacha Moma: La tierra del Arte//The land of Art,Exitoso,Guanajuato,286674,Pacha Moma,Arte
174,75,Descubre la Ciudad de México y  otros rincones del mundo desde el ojo de un DRONE. Discover Mexico from The Other View,506700,Mexico Creates. 100 + Drone shots in a Collection Book,Fallido,Baja California,254572,Roberto H.,Fotografía
175,75,Puesta en escena a partir de una relectura contemporánea de Las Tres Hermanas de Antón Chéjov,80000,"MANADA, versión libre de Las Tres Hermanas de A. Chéjov",Exitoso,Distrito Federal,81450,Pablo Marín,Teatro
176,75,Primer Festival de Mujeres en la Ciudad de México que usan la tecnología como forma de expresión creativa.,70000,FESTIVAL HELLO WORLD 1.0,Exitoso,Distrito Federal,72430,Festival Hello World 1.0,Arte
177,73,We're working on a wonderfully ambitious project to bring my music to life in an original film and we need your help to see it through!,275000,"Project: ""Time"" Short Film",Exitoso,Distrito Federal,295972,Julen Murguia,Cine y video
178,73,Xolo in the Mictlán | Art Toys | Hand painted,35000,Xolo in the Mictlán | Art Toys,Exitoso,Puebla,117228,Quetzalcolor,Artesanía
179,73,Todos nos escondemos de algo inevitable. / We’re all hiding from something inevitable.,60000,Ana Juega a las Escondidas - Short Film,Exitoso,Guanajuato,86135,Daniela Márquez García,Cine y video
180,73,"¡Ya llegamos a nuestra primer meta: $50,000! Ahora vamos por los $60,000 y por el concierto online para ustedes lml",50000,El Cuervo de Poe: Ciudad sin memoria,Exitoso,Baja California,60900,El Cuervo de Poe,Música
181,73,Cabaret infantil para las niñas malcriadas que fuimos y todavía habitan en nosotras. Deseamos reivindicar el enojo para el autocuidado.,50000,Niñas Malcriadas,Exitoso,Distrito Federal,57668,Niñas Malcriadas,Teatro
182,73,¡Ayuda a for dummies a promocionar su primer material discográfico alrededor de El Viejo Continente!,50000,for dummies | Álbum debut / EuroTour 2K18,Exitoso,Veracruz-Llave,51700,Il Grande Rospo,Música
183,73,"¡Ayúdanos a lanzar Emerge MX 004 y Emerge MX English Edition! // \r
Help us publish Emerge MX 004 and Emerge MX English Edition!",35000,Emerge MX: Design Criticism,Exitoso,Baja California,41480,Kassim Vera,Editorial
184,73,"Un musical producido por un grupo de estudiantes, con el propósito de generar un proyecto educativo, de entretenimiento y para todos.",35000,"FN: ""Un musical hecho por y para todos""",Exitoso,Jalisco,36340,Pilar Lost Cue,Teatro
185,72,Largometraje (thriller dramático con giros hacia el horror y ligeros toques de humor negro),165000,POR FAVOR NO ME ABANDONES,Exitoso,Tamaulipas,166277,Antonio Rotunno,Cine y video
186,72,"""Somos como las luciérnagas: nos transformamos en luz cuando amamos"" Lucian Blaga.",95400,El camino de Lucy para descubrir su luz interior,Exitoso,Mexico,118250,Alfombristas Mexicanos,Editorial
187,72,Grabación oficial en español del musical Los Últimos 5 Años de Jason Robert Brown con las voces de Diego Medel y Aitza Terán,85000,Los Últimos 5 años · México,Exitoso,Baja California,87328,Playhouse Entertainment,Música
188,72,Cortometraje para el Rally Universitario del Guanajuato International Film Festival 2019 - Shortfilm selected on Rally GIFF 2019,80000,El Sorprendente Sánchez - Short film Rally GIFF 2019,Exitoso,Baja California,83718,Angélica Belem Garrido González,Cine y video
189,72,"Esta es la historia de un hijo, un padre y una madre. Esta es mi historia, la tuya o la de cualquiera...\r
¡Ayúdanos a hacer este corto!",70000,VOLVER | Cortometraje de tesis | A short-film,Exitoso,Distrito Federal,75010,Diego Salazar,Cine y video
190,72,"Cortometraje de fantasía que pretende explorar los límites de la imaginación en la niñez, los vínculos solidarios y la amistad.",70000,"""Llueven las Flores"" Cortometraje fantástico en 35mm",Exitoso,Mexico,73300,Llueven Las Flores,Cine y video
191,72,Una nueva mirada al género de fantasía hecho en México. Lo llamamos #FantasíaLuminosa.,57000,Zul Movie,Exitoso,Chiapas,58850,Magali Heram,Cine y video
192,72,"""BOGOMILA""",45000,NUEVO EP DE LA NIÑA DEL CABO,Exitoso,Mexico,48710,NOEMI MALDONADO,Música
193,72,"Murmurante es un proyecto artístico independiente  ubicado en Mérida Yucatán, enfocado a abrir posibilidades de transformación social.",150000,Equipemos Murmurante Teatro (Canceled),Cancelado,Yucatan,33035,Ariadna Medina,Teatro
194,71,Innovación y diseño como instrumentos claves para dar una nueva vida al trabajo de los artesanos mexicanos.,120000,Kat & Ibin,Exitoso,Distrito Federal,160186,Lorena Terrazas,Arte
195,71,"el instante es un EP, un pequeño álbum de 6 canciones.  Acompañadas por 6 fotos.",100000,"""el instante"" EP debut de Mateo Cuaròn",Exitoso,Distrito Federal,101128,Mateo Cuarón,Música
196,71,Largometraje de ficción. Adaptación cinematográfica de la obra de Jimena Eme Vázquez.,75000,No queda más remedio que explotar.,Exitoso,Baja California,77149,Partícula Creativa,Cine y video
197,71,"Transmisiones de conciertos en vivo a través de Facebook, una oferta para promover el disfrute del arte desde casa.",65000,#CauzEnCasa,Exitoso,Veracruz-Llave,65449,Cauz | Foro & Librería,Música
198,71,"A musical inspired in the golden age of mexican cinema. \r
\r
Un musical ranchero inspirado en los años 50, la época dorada del cine.",60000,La última y nos vamos Shortfilm,Exitoso,Queretaro de Arteaga,60100,La última y nos vamos Short film,Cine y video
199,71,El primer disco/libro de la banda mexicana QuimeraMty con 11 canciones de HeavyPower Metal acompañadas de una novela fantástica.,45000,"CD / Libro de Quimera ""Donde las Leyendas Habitan""",Exitoso,Baja California,54599,Macabrias García,Música
200,71,Fuimos seleccionados para presentarnos en SXSW y necesitamos de tu apoyo para asistir.,45000,PHI en SXSW,Exitoso,Baja California,47668,PHI,Música
201,71,"A legendary samurai joins forces with a superheroine, a viking and a lovecraftian demon to save their respected universes!",40000,NOVEREAL #1 - Save The Multiverse!,Exitoso,Distrito Federal,40101,Victor M. H.,Cómic
202,70,"En plena revolución mexicana, una niña de 8 años busca una mítica flor que cree salvará la vida de su madre.",120000,El Minthó Escarlata,Exitoso,Distrito Federal,132278,Rodrigo Ferrat Miranda,Cine y video
203,70,Cortometraje de ciencia ficción que trata sobre la maduración y la búsqueda de la identidad personal. (Tesis universitaria),85000,Short Film: Leonora no quiere ver,Exitoso,Nuevo Leon,86986,Manu Hernández,Cine y video
204,70,"Escrita por Eduardo Mateos, Dirigida por Michelle Godet. Protagonistas: Andrea Torre, Mariana Ávila y Jack Duarte.",60000,Habitación 306,Exitoso,Distrito Federal,61000,Eduardo Mateos,Teatro
205,70,Un libro de 368 sueños y 41 imágenes de la autoría de Rafael Villegas,55000,LENGUA NOCHE Sueños de 1985 a 2019,Exitoso,Jalisco,60113,Rafael Villegas,Editorial
206,69,Cortometraje que habla sobre la violencia de género y que busca fortalecer el dialogo para hablar de ello.,70000,"Cortometraje: ""Jauría""",Exitoso,Jalisco,72004,Desiré Urzúa,Cine y video
207,69,Cortometraje del Centro de Capacitación Cinematográfica en favor de los derechos de los y las niñas mexicanas. / Shortfilm,60000,OLOTE cortometraje / shortfilm,Exitoso,Distrito Federal,60968,Lau Charles,Cine y video
208,69,"When alternate realities clash, everyone’s fate will rest in the hands of four girls.",310000,Novereal - Graphic Novel,Fallido,Distrito Federal,42388,Victor M. H.,Cómic
209,68,"Somos Djeko, Carlos y Rafa, juntos hacemos música bajo el nombre de Lemon Mint. Estamos produciendo nuestro segundo álbum.",100000,Nuevo Álbum de Lemon Mint,Exitoso,Distrito Federal,104500,Rafael Martínez,Música
210,68,La Cuarta Puerta es un cortometraje acerca de la violencia de género y sus implicaciones en las víctimas.,70000,La Cuarta Puerta,Exitoso,Baja California,86237,Rubén Hernández,Cine y video
211,68,Antología y catálogo de creadores originales del género BOYS LOVE/YAOI ¡Edición 2018!,80000,DOKKI 2018: Yaoi/BL Creators,Exitoso,Baja California,83520,Kreators & Readers UNITED,Cómic
212,68,"Callejeros preserva el idioma de la ciudad. La esencia de la calle trasciende mediante 18 cuentos, que con tu ayuda irán de la pantalla",69000,Callejeros. Cuentos urbanos de mundos soñados,Exitoso,Baja California,75560,Editorial Elementum,Editorial
