,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
545,GRUPO CAYÚ,Grupo Cayú,Argentina,"Te invitamos a formar parte de nuestro primer disco ""Conjuntamente"". Sólo falta financiar esta última etapa para que el disco sea fabricado.",4379,103,6000,46,Música
546,MI PRIMER DISCO SOLISTA!,Juan Pablo Grossi,Argentina,"Habiendo empezado a grabar mi primer trabajo, necesito fondos para la masterización, replica y distribución del disco",10147,103,9300,53,Música
547,GRABACIÓN DISCO NASTY TRIO,Cristobal Moises Tobar Bachler,Chile,"Grabacion en estudio, mezcla, masterizacion y edicion fisica del primer disco de Nasty trio. Una descarga de funky sucio y sensual.",29459,103,2900,23,Música
548,#SOMOS // SOMÁTICOS,Somaticos,Argentina,"Pre venta exclusiva de #Somos, nuestro nuevo disco! Conseguilo antes que nadie, recién salido del estudio! Sumate, copate y compostate.",8431,103,3800,54,Música
549,RALLY FOR GRACE'S NEOSOUL,Grace Portillo,Argentina,"Con tu apoyo logro lanzar mi debut album ""Sticky Nostalgia"" y mi primer videoclip. Gracias por apoyarme en esta locura!",11879,103,3300,55,Música
550,SANTIAGO TORRICELLI ENSAMBLE,santiago torricelli,Argentina,Santiago Torricelli ensamble grabó su primer disco! Sólo nos falta financiar las etapas de mastering y fabricación de los CDs. Sumate!,10098,103,2500,34,Música
551,A LO LEJOS SONABAN DISPAROS,La Joven Guarrior,Argentina,Somos una orquesta de musica popular a punto de editar su cuarto álbum. Ayudanos con esta campaña para fabricar el disco en formato físico.,10098,103,3700,60,Música
552,¡ÚLTIMOS 2 DÍAS LIBRO TERAPIA NARRATIVA LATINOAMERICANO!,Pranas Chile,Chile,¡¡¡Contribuye con 30 dólares y llévate un edición especial del libro firmada por l@s editor@s!!! Edición del libro PRÁCTICAS LATINOAMERICAN,114528,103,13000,65,Música
553,1ER DISCO DE WE ARE THE GRAND,We Are The Grand,Chile,Se parte de la grabación de nuestro primer disco.,124180,103,15700,45,Música
554,CUATRO GATOS NEGROS FLACOS,Laura Varsky,Argentina,"Somos tres personas amantes de los libros y, por qué no, de los gatos también. A Didi Grau le gusta jugar con las palabras, a Christian Montenegro con las ilustraciones y a Laura Varsky con el diseño y las tipografías. Juntos desarrollamos este nuevo libro álbum, porque nos apasiona lo que hacemos y nos encantaría que los demás puedan disfrutar de él tanto como nosotros disfrutamos al crearlo. ""'Cuatro gatos negros flacos' es un libro juego de 4 palabras que se repiten multiplicándose en espejo. Palabras que crecen y decrecen. Palabras horizontales, verticales, diagonales, palabras en zig-zag. Un libro juego de dibujos que cuentan sus historias multiplicándose para después decrecer y volver al principio pero al revés: 4 gatos que sonríen, que se burlan, que guiñan, que duermen, que se desperezan."" Por su producción gráfica “Cuatro gatos..” es un libro que, por la vía clásica de realización (a través de editoriales, distribuidores y librerías), llegaría con un precio muy alto a sus compradores. Es por esto que pretendemos poder hacer un camino directo entre lectores y autores, es decir entre ustedes y nosotros. El plan es hacer una edición exclusiva de 500 ejemplares impresos en offset, firmados y numerados por sus tres autores. Trabajamos con los mejores proveedores a la hora de hacer libros, buena calidad de papel, tintas y encuadernación. “Cuatro gatos..” es desplegable y mide 20 cm x 20 cm cuando está cerrado. Pero cuando se despliega ¡alcanza una longitud de 4 metros! --- Un libro sin edades, para chicos y para grandes. Para mirar solos o acompañados. Para disfrutar sobre la mesa página por página o desplegar sobre la alfombra y tenderse a leer los dibujos y a ver las palabras. Para jugar a encontrar detalles, para buscar diferencias y coincidencias. Para ver de principio a fin y de fin a principio. Para mirar a dos puntas y encontrarse en el medio. Para observar de cerca, muy cerca, o de lejos, lejísimo. En fin, un libro objeto que, como una caja mágica, esconde historias, todas las que cada uno quiera inventar. Esperamos contar con tu ayuda para hacerlo realidad!",232177,102,56400,126,Editorial
555,EL DESAFÍO DE NITUKE - LIBRO,Condimento la Vida,Argentina,"Es un Cuento que INCENTIVA a COCINAR, COMER LAS VERDURAS Y CEREALES INTEGRALES ¡LOS CHICOS SÍ COMEN LAS VERDURAS !",7819,102,19200,193,Editorial
556,MATEO DE LA LUNA ECT,mateodelaluna,Argentina,Conjunto Musical MATEO DE LA LUNA EN COMPAÑÍA TERRESTRIAL PRESENTA: LA ENERGÍA DE LOS PLANETAS,7595,102,18000,89,Editorial
557,CORSELET ? GRAVAÇÃO DO CLIPE E SHOW DE LANÇAMENTO,Maíra Freitas,Brasil,Colabore com a gravação do primeiro clipe de Maíra Freitas e com um show de lançamento do vídeo!,37286,102,3000,85,Música
558,¡QUE VUELVA VIEJAS CHOTAS!,9 Reinas,Argentina,"Somos 9 Reinas, una nueva productora que quiere montar y estrenar VIEJAS CHOTAS, un musical tragicómico que desnuda el universo femenino.",6680,102,12400,63,Artes escénicas
559,TRÍPTICO [IR]RELATO A 3 VOCES,Cronopolis Teatro,Chile,"""TRÍPTICO [Ir]relato a tres voces"" conjuga 3 cortos teatrales inspirados en Simone de Beauvoir, Gabriela Mistral y Virginia Woolf. Ayúdanos!",7322,102,8600,16,Artes escénicas
560,FEDE LUCERO · CIELO DE HUINCA,fedelucero,Argentina,"Sumate y colaborá con la edición física de ""Cielo de Huinca"", mi primer disco de canciones.",16699,102,2700,40,Música
561,BANDALOS CHINOS. SALE EL DISCO,Bandalos Chinos,Argentina,"Hola, somos BANDALOS CHINOS y estamos terminando nuestro PRIMER disco. Si, te vamos a manguear, necesitamos TU ayuda. FB: /bandalos.chinos",74023,102,14600,83,Música
562,"LITTLE DOROTHY, EL 1ER DISCO",Little Dorothy,Argentina,Ya tenemos nuestro primer disco grabado! Solo nos falta fabricarlo y para eso necesitamos tu ayuda.,110398,102,12500,143,Música
563,SEGUNDO DISCO DE LEÓN VIEJO!!,Leon Viejo,Uruguay,"Queremos hacer realidad nuestro segundo disco! Grabarlo, mezclarlo, masterizarlo y producirlo, y queremos que vos seas parte!!!",159306,102,12200,32,Música
564,"13° FESTA DO DIVINO EM SP, NO ESPAÇO CACHUERA!",Bartira Helena Reis de Menezes,Brasil,Contribua para a realização da 13° Festa do Divino Espírito Santo em SP! Participe desta grande festa popular de tradição maranhense aberta,62217,102,4700,89,Música
565,CURSO DE MACROFOTOGRAFÍA,pdolsan,Argentina,"Completo curso con los equipos, técnicas y consejos para lograr las mejores fotografías macro de naturaleza.",16762,102,6200,31,Editorial
566,VANESSA MORENO E FILIPE MARÓSTICA,Vanessa Moreno e Filipe Maróstica,Brasil,Gravação do primeiro CD do duo de baixo e voz de Vanessa Moreno e Filipe Maróstica,55969,102,7600,100,Música
567,ENSAMBLE TRANSATLÁNTICO - DVD,Ernesto Calderon,Chile,"Esta original agrupación te invita a colaborar con su DVD, y así ser parte de esta gran revolución musical, pacífica e inclusiva",44102,102,10700,68,Música
568,"""LÚNICA"", MI NUEVO DISCO",Analía Garcetti Grupo,Argentina,Hola! Busco que mi tercer producción discográfica salga a la luz. Me ayudás?,16739,102,5100,49,Música
569,"""LA CUMBIAMBA SE DESATA""-1° CD",La Abuela Cumbiambera,Argentina,"Somos una orquesta de cumbia, que interpreta composiciones propias. Ya grabamos el CD, ahora necesitamos ayuda para poder imprimirlo!",2353,102,5300,35,Música
570,"LA CHANCHA MUDA, NUEVO DISCO!",El Gusano Podrido,Argentina,"La Chancha Muda necesita parir por segunda vez, sea como sea! Un disco explosivo, rebelde y combativo. Ayudanos a escupir todo esto!",16798,102,9300,35,Música
571,CD CONECTADOS POR EL INFINITO,Conectados por el Infinito la banda,Uruguay,"Somos Conectados por el infinito, la banda. Queremos pedirte tu colaboración para materializar el sueño de grabar nuestro primer disco.",43778,102,11700,120,Música
572,¡DISCO PARA HELADO INFINITO!,Helado Infinito,Argentina,¡Luego de un año de viaje y de grabaciones itinerantes ya tenemos listo nuestro primer disco! ¡Hoy queremos editarlo en físico! ¿Nos ayudas?,11765,102,7800,56,Música
573,"""DESPUÉS DE VIVIR UN SIGLO""",paulaferre,Argentina,El proyecto es la realización de un Disco Homenaje a Violeta Parra por artistas importantes del Folklore Nacional e Invitados especiales.,16729,102,10900,89,Música
574,DESENCUENTRO [LA OBRA],Paula Muzzio,Argentina,Montaje y estreno de una obra de teatro-tango que desnuda la intimidad de una mujer que espera el encuentro con su gran amor.,3327,102,5800,25,Artes escénicas
575,CUENTO ILUSTRADO DE AGUS&FLOR,Agustina Pessio,Argentina,"“La casa del árbol y el caballito de madera” Un cuento ilustrado que narra la historia de Olivia, una niña con una imaginación sin límites.",8343,102,6900,69,Editorial
576,DOCUMENTOS TERRITORIALES,Documentos territoriales,Argentina,Libro de dibujos que hicimos en un viaje por Centroamérica.,8382,102,5800,45,Editorial
577,MONTE MADRE,Alan Robinson,Argentina,"Una obra de teatro basada en una historia real, sobre una pareja que sobrevivió 4 años en el monte chaqueño, escapando de los militares.",24610,102,12300,24,Artes visuales
578,CASAS DE ARTISTAS URUGUAY,Casas de Artistas,Argentina,Necesitamos poder entrar a imprenta. El libro muestra la intimidad de los talleres y artistas plásticos uruguayos con fotos y entrevistas.,30870,102,8100,25,Editorial
579,PUTAS - HERSILIA ALVAREZ,Hersilia Alvarez,Argentina,¡AHORA queremos publicar PUTAS en formato libro!,28154,102,26200,106,Editorial
580,REVISTA REA 2: POLÍTICA+CIUDAD,RED ESTUDIANTES ARQUITECTURA,Chile,Publicación de la Red Estudiantes Arquitectura. busca ser un espacio de difusión aproximándose a la arquitectura desde una mirada crítica.,7293,102,1500,13,Editorial
581,"CÓMIC ""PERROTE""",Victor Silva,Chile,Primer capítulo de las aventuras de Perrote junto a Conejo y Gatito.,2932,102,3700,13,Editorial
582,TRABAJO PARA LOBOS,Maruja Bustamante,Argentina,Necesitamos apoyo para hacer la escenografía de la obra. Esto es teatro independiente en Argentina. El arte de los entusiastas. Ayudanos!,24610,102,16800,35,Artes visuales
583,EXPOSIÇÃO SINESTESIA,Leonardo Miranda,Brasil,"Exposição multisensorial e multimídia que mistura poesia, música, artes plásticas e fotografia no Rio de Janeiro.",29117,102,4400,17,Artes visuales
585,LA CIMA DEL MUNDO,Mutantecine,Argentina,"Cortometraje Documental/Ficción que narra la historia de Tito, un niño que hace malabares en semáforos para vivir.",5002,102,6500,16,Artes visuales
586,A 1232 CABEZAS,Vicky Apolinario,Argentina,Cortometraje sobre mujeres migrantes dominicanas en Argentina. De Constitución a Dominicana - La delirante carrera por un doloroso retorno.,3333,102,7800,12,Artes visuales
587,GOLEM,Golem,Argentina,Un corto en stop motion que explora las dimensiones de la creación. A través del Mito y el Rito antiguos misterios son develados.,10092,102,17300,345,Artes visuales
588,DESAFÍO ZENTANGLE,victoriamor,Argentina,Zentangle es dibujar libre y creativamente. Quiero asistir al seminario para certificarme como profesora y seguir aprendiendo!,26167,102,25300,136,Artes visuales
589,CAMALEONICX CCI KIU,Cci,Argentina,"Este es el segundo disco de CCI KIU. Con el apoyo de todxs ustedes,se puede hacer físico este sueño de seguir haciendo lo que más nos gusta!",16749,102,1500,31,Música
590,TRASCENDER,Jorge Caamaño,Argentina,Disco de tango y folklore. Homenaje a los maestros de la guitarra Argentina.,8709,102,2700,60,Música
591,FRANCA STOPMOTION,Laura Paulina,Argentina,"Es un cortometraje en animación stopmotion, cuenta la historia de Marina, una niña de 7 años y su amiga la ballena franca austral",23366,102,2400,40,Cine y video
592,TORNADO,Nacho Ceroi,Argentina,Alejandra predice un tornado y viaja repentinamente. Octavio se queda a cargo del asunto. Nos hablan testigos del tornado en Chivilcoy.,1667,102,3800,13,Cine y video
593,"IMPROPIAS, LA PELÍCULA",Florencia Nizzo,Argentina,"¿Y si te dieran la llave de un departamento para entrar y, en 10 minutos, llevarte lo que quieras? ¿Tomarías el riesgo?",4033,102,5800,130,Cine y video
594,TRAYECTORIA (LARGOMETRAJE),Spaghetti Film,Argentina,Largometraje de Matias Erazo y Fernando Alegre. El guion se construirá desde la improvisación con el vértigo de un rodaje de 5 días.,5000,102,3200,17,Cine y video
595,PSICÓTICAS INSEGURAS II,Psicóticas Inseguras,Chile,"Queremos hacer la segunda temporada de nuestra queridísima y única webserie. Ayúdanos, porfis.",146007,102,43800,345,Cine y video
596,DOCUMENTAL IRONMAN FERNANDA,Claudio Alfaro H.,Chile,Fondos para viajar junto a Fernanda a grabar la culminación de este documental de un largo proceso de sanación en el IRONMAN de Brasil,48364,102,7000,60,Cine y video
597,EL SUEÑO Y EL CONEJO,elsuenoyelconejo,Argentina,Nix tiene problemas para dormir de noche. Hasta que un día recibe un mail de “La Fábrica de Sueños” y su vida cambia completamente.,4363,102,6400,15,Cine y video
598,IKIGAI - LA PELÍCULA,Iván Preuss,Argentina,Esta película 100% independiente necesita TÚ ayuda para poder realizarse. ¡Formá parte y juntos incentivemos el cine Patagónico!,16683,102,4300,27,Cine y video
599,INFECCIÓN,Sele Algañarás,Argentina,"Cortometraje de ficción - Cuando Tamara es mordida por un infectado, Julia decide arriesgarlo todo para salvarla, aunque la otra no quiera.",6961,102,971,28,Cine y video
600,PIECECITOS,PIECECITOSDVD,Chile,"Capítulo final de serie animada “Piececitos”, poemas de Gabriela Mistral. Refleja la esperanza e imaginación de los niños de la calle",122955,102,10200,35,Cine y video
601,"PEDRO, EL CORTOMETRAJE",Pedro el cortometraje,México,"""Pedro"" es un cortometraje de ficción sobre la historia de un niño de 8 años que vive una experiencia que lo transformará para siempre.",319357,102,12900,101,Cine y video
602,MOCHA.,Bachillerato Popular Mocha Celis,Argentina,"Nuestra Lucha, Su Vida, Mi Derecho.",26781,102,19900,121,Cine y video
603,"NOCHE, LA PELÍCULA",Noche,Chile,"Sé parte de Noche, el nuevo largometraje chileno dirigido por Inti Carrizo-Ortiz. Construye con nosotros el final de esta historia.",79310,102,22800,148,Cine y video
604,SUBE: SOL Y LUNA (2DO EP),Raúl Moya,Chile,Han pasado 2 años desde que ETEREOPUERTO vió la luz. Hoy tenemos nuevos temas que queremos registrar y difundir.,44045,102,2500,44,Música
605,"""RUMBOS"" NUEVO ÁLBUM!",Demián Ismael,Argentina,RUMBOS es mi segundo trabajo de estudio y estoy muy entusiasmado de poder compartirlo con vos. ¿Me ayudás?,22729,102,4400,63,Música
606,"""NÁUFRAGO"" EN LAS MANOS",TodoEs Verso,Argentina,"Ya está, ""Náufrago"" es una realidad, pero una realidad digital por ahora. Ayudanos a hacerlo una realidad real (de esa que se puede tocar).",5016,102,4900,48,Música
607,TENEMOS UN PROBLEMA!!!,Vocal Miscelánea,Argentina,"Queremos ir a concursar al XI Festival Coral Internacional Gustavo Gomez Ardila en Colombia, y necesitamos tu ayuda.",20115,102,4500,67,Música
608,DISCO DUENDES DE JARDÍN,Leonardo Fontecilla,Chile,Nuevo disco de canciones para la infancia compuesto por Leo Fontecilla (Don Barbarroja),102963,102,7200,57,Música
609,PELÍCULA AÑOS DE CALLE,Alejandra Grinschpun,Argentina,Documental que durante 15 años sigue a 4 chicos que crecen en las calles. Queremos estrenar en salas de cine y hacer la edición de los DVD.,10013,102,18600,39,Cine y video
610,CON UN POCO DE AYUDA DE AMIGOS,Alain Rafael Duenas Estevez,Argentina,"Mi vieja compañera de batallas, mi cámara, se rompió, necesito ayuda para seguir creando y aportar a que este planeta sea un mundo mejor.",5033,102,847,11,Artes visuales
611,SOLAR7,BOX SYNERGY,Argentina,"Cargador solar ultraliviano y de alta eficiencia, que te permite llevar toda la energía que necesitás en tu bolsillo.",67170,102,44300,80,Diseño
612,ELEPANTS - NUEVOS PANTALONES,Elepantsarg,Argentina,Lanzamiento exclusivo de nueva Colección FW17 donde podes ayudar a Voy con Vos en un proyecto de integración nacional,100785,102,66600,227,Diseño
613,EL ÍCONO DE LA SEMANA,Hernan Berdichevsky,Argentina,"El ícono de la semana es una síntesis de las noticias más importantes que sucedieron en la Argentina, en el transcurso de un año.",16825,102,15500,92,Diseño
614,GREENIN,claudia.heindorf,México,Diseño de sistemas funcionales para la agricultura urbana y proveer semillas y plantas autóctonas para promover la agrobioiversdad.,196378,102,13900,29,Diseño
615,PROYECTO KALUNA,Kaluna Sustainable Apparel,México,"Revolucionamos el concepto de ""green apparel"". ¡Ropa y accesorios hechos con materiales reciclados! ¡Moda sustentable y rastreable!",172536,102,29200,36,Diseño
616,LA CONSPIRACION CORTOMETRAJE,salomonreyes,Uruguay,"Terminar la postproducción de audio y video del cortometraje LA CONSPIRACION filmado con adolescentes en Paysandú, Uruguay.",29292,101,10100,24,Artes visuales
