,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
414,"SI NO TE VEO, FELICES FIESTAS",Los Lascia,Argentina,"El mismo grupo que te trajo ""Los Lascia, dos obras una historia"" prepara su nuevo proyecto: Una pieza sobre la melancolía de las fiestas.",mismo grupo trajo lascia obras historia prepara nuevo proyecto pieza melancolía fiestas, melancolia   grupo trajo ,2075,105,8100,29,Artes escénicas
415,ENCUENTRO DE TEATRO CALLEJERO,juanerodriguez,Argentina,El Encuentro de Teatro Callejero es una iniciativa impulsada por estudiantes de Gestion del Arte y la Cultura de la UNTREF.,encuentro teatro callejero iniciativa impulsada estudiantes gestion arte cultura untref, cultura   teatro callejero ,858,105,3000,14,Artes escénicas
416,PRENSAGEM DO CD FORÇA DA NATUREZA,Ananda Botelho Mendes,Brasil,"Você pode fazer parte de Força da Natureza, o 1º disco da Ananda! Sua contribuição financia a prensagem do CD e coloca este projeto pra fren",pode fazer parte força natureza 1º disco ananda contribuição financia prensagem cd coloca projeto pra fren, projeto pra   financia ,21332,105,6500,53,Música
417,LOS HIJOS DE LAS ESTRELLAS,ProyectoLHDLE,Argentina,LHDLE es un corto ficcional donde se trabaja la conexión entre la figura del Principito y los Niños Indigo,lhdle corto ficcional trabaja conexión figura principito niños indigo, ninos   corto ficcional ,1721,105,7600,19,Artes visuales
418,GUAU! EL LIBRO!,Coleccion Pianopiano,Argentina,"Libro colectivo de fotos de perros, 95 autores: fotógrafos profesionales y amateurs. Vos lo pedís y lo publicamos entre todos!",libro colectivo fotos perros autores fotógrafos profesionales amateurs pedís publicamos, pedis   colectivo fotos ,19030,105,29800,189,Artes visuales
419,PRETERITO IMPERFECTO POESÍA Y+,Cesugomez,Argentina,Con tu ayuda puedo editar mi primer libro y compartir con vos las experiencias hechas poesía de ese Pretérito Imperfecto que todos tenemos.,ayuda puedo editar primer libro compartir experiencias hechas poesía pretérito imperfecto, preterito   puedo editar ,17255,105,2400,60,Editorial
420,5X5 SERIES DING-DONG BIKES,Ding-Dong Bikes,Argentina,Queremos realizar una serie limitada de bicicletas intervenidas por 5 artistas y exponerlas en un evento presentación.,queremos realizar serie limitada bicicletas intervenidas artistas exponerlas evento presentación, realizar   exponerlas evento ,18250,105,20300,63,Artes visuales
421,CHILENOS EN PAPEL,Alejandro Blanco F.,Chile,Regalo de retratos profesionales impresos en el minuto a personas comunes y corrientes en pueblos aislados en todo Chile.,regalo retratos profesionales impresos minuto personas comunes corrientes pueblos aislados chile, aislados   retratos profesionales ,117549,105,14400,88,Artes visuales
422,LA VIDA DE VIAJE,La Vida de Viaje,Argentina,La Vida de Viaje es un proyecto foto documental de un fotógrafo y una bloguera que buscan unir Ushuaia-La Quiaca en bicicleta.,vida viaje proyecto foto documental fotógrafo bloguera buscan unir ushuaiala quiaca bicicleta, viaje   ushuaiala quiaca ,64323,105,17800,97,Artes visuales
423,"MAMA, SOY GAY!",Sofia Elliot,Argentina,"Serie de Cortos, género comedia, que trata sobre las diferentes reacciones que tuvieron algunas personas al escuchar o decir ""Soy Gay""",serie cortos género comedia trata diferentes reacciones personas escuchar decir gay, cortos   escuchar decir ,78849,105,64100,51,Artes visuales
424,CADA DÍA UNA COPITA X PAIO,Paio,Argentina,"Hola soy Paio Zuloaga, soy diseñador grafico y dibujante. Mi inquietud siempre fue el arte y la creatividad y mi inspiración el humor grafico, Siempre admiré a esa gente que dibuja en ""la parte de atrás del diario"". En enero de 2008 cree mi blog con un objetivo, hacer un chiste x día durante 1 año, lo llame CADA DIA UNA COPITA, y lo que en un principio lo tomé como un hobbie se fue convirtiendo en un trabajo. Hoy, mas de 3 años después y con el reconocimiento de dibujantes x quienes tengo admiración y de fans que se suman día a día quiero cumplir otro objetivo: editar el libro, ""Cada dia una copita"" vol.1, una recopilación de los dibujos e ilustraciones más divertidos e interesantes, en un formato de 20 x 20 cm, 96 páginas color de humor a lo Paio. En este objetivo necesito tu aporte, quiero que participes del proyecto y me ayudes a hacerlo real. entra a ideame.com, mirá el video y colaborá de algun modo, vas a tener recompensas a cambio: skins para tu celular o para tu laptop, bocetos, originales del libro, el mismo libro cuando se edite y las gracias sinceras. Tengo 40 días para juntar el monto y que esto se haga realidad, compartiendo este video entre tus conocidos también me estarás ayudando. Si el libro se edita, las cosas seguirán cambiando y sorprendiéndome, esto significará que vivo. Solo quedará sacarle más punta al lápiz y buscar otra hoja en blanco. ¡Espero contar con tu ayuda para que así sea! Gracias x mil x PAIO",hola paio zuloaga diseñador grafico dibujante inquietud siempre arte creatividad inspiración humor grafico siempre admiré gente dibuja parte atrás diario enero cree blog objetivo hacer chiste x día año llame cada dia copita principio tomé hobbie convirtiendo trabajo hoy años después reconocimiento dibujantes x admiración fans suman día día quiero cumplir objetivo editar libro cada dia copita vol1 recopilación dibujos ilustraciones divertidos interesantes formato x cm páginas color humor paio objetivo necesito aporte quiero participes proyecto ayudes hacerlo real entra ideamecom mirá video colaborá algun modo vas tener recompensas cambio skins celular laptop bocetos originales libro mismo libro edite gracias sinceras días juntar monto haga realidad compartiendo video conocidos ayudando si libro edita cosas seguirán cambiando sorprendiéndome significará vivo solo quedará sacarle punta lápiz buscar hoja blanco espero contar ayuda así gracias x mil x paio, dia   dias   libro   objetivo ,158610,105,29800,97,Editorial
425,SIQUEIRA ENTRE NÓS,wellington monteiro,Brasil,Gravação do CD do compositor e cavaquinista Siqueira.,gravação cd compositor cavaquinista siqueira, siqueira ,42506,105,6400,50,Música
426,"PILO GARCÍA, NUEVO DISCO!!",PILO GARCIA,Argentina,"""Del otro lado"", Ya se encuentra en la etapa final de producción. El objetivo es fabricar 1000 copias, te invito a ser parte del proyecto!!!",lado encuentra etapa final producción objetivo fabricar copias invito ser parte proyecto, encuentra   ser parte ,4124,105,8900,49,Música
427,TRINA,REM PRODUCCIONES AUDIOVISUALES,Argentina,“TRINA” es un cortometraje que refleja tres posibles respuestas ante una misma situación.,trina cortometraje refleja tres posibles respuestas misma situación, cortometraje   respuestas misma ,13726,105,1900,49,Cine y video
428,REMERAS BY KURARA HIMURA,KuraraHimura,Argentina,Diseños propios y originales. Con tu ayuda puedo hacer una producción exclusiva! Inspiradas en el mágico mundo de Harry Potter.,diseños propios originales ayuda puedo hacer producción exclusiva inspiradas mágico mundo harry potter, harry   propios originales ,6887,105,7000,42,Diseño
429,LIO SE CANSÓ DE HACER GOLES,learojas,Argentina,"¿Cómo escribir sin el corazón en la mano, cuando se escribe sobre fútbol?. Para mí, es imposible. Así se pensó cada párrafo de este libro.",cómo escribir corazón mano escribe fútbol imposible así pensó cada párrafo libro, escribir   parrafo   corazon ,25355,105,13100,48,Editorial
430,CARASLARGAS - SEGUNDO DISCO,Ariel Nonamë,Chile,"Ayúdanos a terminar nuestro segundo disco! Las canciones están listas, ahora sólo necesitamos tu ayuda!",ayúdanos terminar segundo disco canciones listas ahora sólo necesitamos ayuda, necesitamos   terminar segundo ,60262,105,6100,57,Música
431,EL PRIMER DISCO DE ÖXA,elmisteriodeoxa,Chile,ÖXA necesita tu ayuda para hacer de este sueño una realidad.,öxa necesita ayuda hacer sueño realidad, sueno   necesita ayuda ,60605,105,8500,76,Música
432,"DISCO DEBUT ""EMBROIDERY""",Walk the Rail,Chile,Adquiere tu copia del disco y otras recompensas mientras nos ayudas a finalizar el lanzamiento de nuestro debut al mundo del rock!,adquiere copia disco recompensas mientras ayudas finalizar lanzamiento debut mundo rock, mundo   copia disco ,30031,105,3700,52,Música
433,NUEVO DISCO DE HOMBRE SURREAL!,Hombre Surreal,Argentina,"Con tu colaboración vamos a poder terminar las etapas de edición, mezcla y mastering de nuestro nuevo disco Espiritu.",colaboración vamos poder terminar etapas edición mezcla mastering nuevo disco espiritu, disco   vamos poder ,6895,105,4500,37,Música
434,EXTRAÑAMIENTO,gatex,Argentina,Disco de rock post progresivo. Música under.,disco rock post progresivo música, rock post progresivo ,2402,105,1900,10,Música
435,PRIMER DISCO!!!!,Mariana Lara,Argentina,"La idea de este proyecto es que COMPREN EL DISCO POR ANTICIPADO, DE ESTA MANERA ME ESTAS AYUDANDO A EDITAR EN FORMATO CD .",idea proyecto compren disco anticipado manera ayudando editar formato cd, editar   proyecto compren ,10320,105,7500,46,Música
436,PREVENTA ¿DÓNDE ESTÁ MI PERRO?,Play Shodaka,Argentina,PLAY SHODAKA tiene disco nuevo ¿Dónde Está mi Perro? Ayudanos con la Presentación Oficial. Tenemos solo 30 días. ...::: MIRA EL VIDEO :::..,play shodaka disco nuevo dónde perro ayudanos presentación oficial solo días mira video, shodaka   dias mira ,7912,105,7500,92,Música
437,FAUSTO CRIOLLO EDICIÓN LIBROCD,Mario Esteban,Argentina,"Ayudame a editar un CD/Libro con mi música sobre el poema ""Fausto"" de Estanislao Del Campo e ilustrado por ""MILA"". ¡Sé parte del proyecto!",ayudame editar cdlibro música poema fausto estanislao campo ilustrado mila sé parte proyecto, ilustrado   editar cdlibro ,12095,105,9100,50,Música
438,EL DISCO DE MYRNA MINKOFF,Myrna Minkoff,Argentina,Myrna Minkoff terminó de grabar su primer disco y necesita tu aporte para la mezcla y el mastering.,myrna minkoff terminó grabar primer disco necesita aporte mezcla mastering, minkoff   aporte mezcla ,2059,105,5600,18,Música
439,MAMUSHKA SERIE WEB,Mamushkasw,Argentina,"La humanidad decide vivir en OTRO PLANETA, parte de la población es ABANDONADA en la Tierra. Ellos forman #LaComunidad y deciden rebelarse.",humanidad decide vivir planeta parte población abandonada tierra forman lacomunidad deciden rebelarse, deciden   decide vivir ,3448,105,2600,28,Cine y video
440,COSEQUIA,solomoros,Argentina,Largometraje ficcional gestado como tesis de la carrera de Diseño de Imagen y Sonido (FADU-UBA) que busca trascender el marco académico,largometraje ficcional gestado tesis carrera diseño imagen sonido faduuba busca trascender marco académico, ficcional   trascender marco ,8654,105,9200,217,Cine y video
441,MACRI EN 3 - TEMPORADA 2017,Macri en 3,Argentina,Somos el único resumen semanal crítico sobre el gobierno macrista y queremos seguir durante el año que viene haciéndolo!,único resumen semanal crítico gobierno macrista queremos seguir año viene haciéndolo, resumen   ano viene ,16503,105,26000,162,Cine y video
442,ELIZA ILUSA,ANTONIO CARDENAS GAEHD,México,"Cortometraje sobre Eliza una niña que pide a las estrellas volver a ver a su padre, sin pensar él volvería... en una forma aterradora.",cortometraje eliza niña pide estrellas volver ver padre pensar volvería forma aterradora, forma   eliza   nina ,76016,105,10900,23,Cine y video
443,QUINTAO,Rico Venerito,Brasil,Viabilize a exibição do documentário QUINTAO durante a Virada Sustentável 2012 em São Paulo.,viabilize exibição documentário quintao virada sustentável paulo, exibicao   sustentavel   documentario ,2426,105,1800,15,Cine y video
444,REFUGIOS DE LA PATAGONIA,Tomas Coudures,Argentina,Realización de 4 capítulos en los cuales se dará a conocer la vida en diferentes refugios de montaña de la Patagonia Argentina.,realización capítulos cuales dará conocer vida diferentes refugios montaña patagonia argentina, capitulos   montana patagonia ,63146,105,8500,22,Cine y video
445,PRIMER DISCO DE NEW SOULS,new souls,Argentina,Somos una banda de Reggae que necesita tu ayuda para lograr nuestro sueño: grabar nuestro primer disco! Se parte de nuestra historia.,banda reggae necesita ayuda lograr sueño grabar primer disco parte historia, reggae   disco parte ,3409,104,5100,40,Música
446,MEU CORAÇÃO É...,Anna Toledo2,Brasil,"CD ao vivo da cantora Anna Toledo, gravado em Curitiba (PR), com repertório de samba-canção brasileiro.",cd vivo cantora anna toledo gravado curitiba pr repertório sambacanção brasileiro, sambacancao   cantora   gravado ,63127,104,1900,128,Música
447,CD MANCHETE DO TICO-TICO,Victor Batista,Brasil,"Compartilhando valores, atitudes e idéias em prol do nosso ecossistema.",compartilhando valores atitudes idéias prol ecossistema, prol   valores atitudes ,28510,104,4600,70,Música
448,CD COMO A GENTE QUER,TEST DRIVE,Brasil,"O cd ""COMO A GENTE QUER"" é o nosso primeiro disco, contem 13 faixas inéditas e mostra REALMENTE qual a cara da banda.",cd gente quer primeiro disco contem faixas inéditas mostra realmente cara banda, quer   realmente cara ,14841,104,4500,84,Música
449,KALMA KARMA,Mauricio Mayer,Argentina,"Mauricio Mayer es un artista independiente que busca editar en formato físico su segundo disco, “Kalma Karma”, con financiación colectiva.",mauricio mayer artista independiente busca editar formato físico segundo disco kalma karma financiación colectiva, mayer   financiacion   karma ,3265,104,5900,42,Música
450,LA CISCU Y SU DISCO,La Ciscu Margaret,Chile,"Somos una banda clown, fusión de teatro y música. Queremos grabar en Junio nuestro Primer Disco, 10 temas de creación propia.",banda clown fusión teatro música queremos grabar junio primer disco temas creación propia, creacion   clown   temas ,59575,104,12100,71,Música
451,"8, NUEVO DISCO EN VINILO Y CD",Marco Sanguinetti,Argentina,"Ya grabamos la música, ya está diseñado el pack. Nos falta fabricar los CDs y vinilos. ¡Contamos con tu ayuda para completar esta etapa!",grabamos música diseñado pack falta fabricar cds vinilos contamos ayuda completar etapa, musica   ayuda completar ,11921,104,12700,94,Música
452,MONOTORO,juampidicesare,Argentina,"El Monotoro, mi tercer disco como solista, ya está listo para su etapa final de grabación y edición. Necesito de tu participación.",monotoro tercer disco solista listo etapa final grabación edición necesito participación, necesito   tercer disco ,11935,104,7000,69,Música
453,HUMO A MEDIANOCHE,Pablo Doreste,Argentina,Queremos filmar la historia de un editor de cine de detectives que entra en su película y da un nuevo rumbo al caso! Ayudanos a recibirnos!,queremos filmar historia editor cine detectives entra película nuevo rumbo caso ayudanos recibirnos, filmar   caso ayudanos ,3417,104,5300,40,Artes visuales
